Year,Field,Plot_No,SMU,Core_No,Tillage,Depth,Lab_No,TotalN.perc,TotalC.perc,InorganicC.perc,OrganicC.perc,pH,Delta_C13,atom_pct
2005,70,47790,138B,1,Disk,0 to 15,G1,0.18,2.37,0.05,2.33,6.02,-15.26,1.0944
2005,70,47790,138B,2,Disk,0 to 15,G5,0.19,2.58,0.05,2.53,5.76,-18.72,1.0906
2005,70,47790,138B,3,Disk,0 to 15,G9,0.18,2.63,0.19,2.43,5.94,-18.36,1.091
2005,70,47790,138B,4,Disk,0 to 15,G13,0.17,2.15,0.05,2.1,6.49,-16.93,1.0926
2005,70,47799,138B,5,Slot,0 to 15,G17,0.18,2.89,0.15,2.74,6.5,-15.17,1.0945
2005,70,47799,138B,6,Slot,0 to 15,G21,0.15,2.25,0.08,2.17,6.62,-18.34,1.0911
2005,70,47799,138B,7,Slot,0 to 15,G25,0.17,2.39,0.05,2.34,6.77,-17.9,1.0915
2005,70,47799,138B,8,Slot,0 to 15,G29,0.17,2.46,0.04,2.42,7.03,-6.16,1.1044
2005,70,47800,107/507,9,Plow,0 to 15,G33,0.13,1.76,0.03,1.73,7.04,-16.21,1.0934
2005,70,47800,107/507,10,Plow,0 to 15,G37,0.13,1.76,0.02,1.74,6.94,-18.16,1.0913
2005,70,47800,107/507,11,Plow,0 to 15,G41,0.14,2.12,0.02,2.1,6.96,-18.31,1.0911
2005,70,47800,107/507,12,Plow,0 to 15,G45,0.17,2.47,0.03,2.44,7.19,-2.78,1.1082
2005,70,47809,138B,13,Disk,0 to 15,G49,0.16,2.66,0.06,2.6,7.12,-17.73,1.0917
2005,70,47809,138B,14,Disk,0 to 15,G53,0.17,2.47,0.06,2.41,7.2,-18.22,1.0912
2005,70,47809,138B,15,Disk,0 to 15,G57,0.15,1.97,0.04,1.93,7.34,-17.75,1.0917
2005,70,47809,138B,16,Disk,0 to 15,G61,0.19,2.59,0.05,2.54,7.39,-20.31,1.0889
2005,70,47808,107/507,17,Till,0 to 15,G65,0.18,2.33,0.04,2.29,7.06,-16.82,1.0927
2005,70,47808,138B,18,Till,0 to 15,G69,0.18,2.77,0.03,2.74,7.04,-16.51,1.0931
2005,70,47808,138B,19,Till,0 to 15,G73,0.18,2.72,0.04,2.68,6.7,-16.12,1.0935
2005,70,47808,107/507,20,Till,0 to 15,G77,0.18,2.59,0.04,2.55,6.82,-16.3,1.0933
2005,70,47801,107/507,21,Chisel,0 to 15,G81,0.22,3.37,0.1,3.27,6.75,-16.93,1.0926
2005,70,47801,107/507,22,Chisel,0 to 15,G85,0.2,2.94,0.04,2.9,6.5,-17.01,1.0925
2005,70,47801,107/507,23,Chisel,0 to 15,G89,0.19,2.55,0.04,2.51,6.55,-16.33,1.0933
2005,70,47801,107/507,24,Chisel,0 to 15,G93,0.15,2.22,0.05,2.17,6.99,-7.22,1.1033
2005,70,47798,107/507,25,Chisel,0 to 15,G97,0.17,2.24,0.05,2.19,7.22,-15.52,1.0942
2005,70,47798,138B,26,Chisel,0 to 15,G101,0.15,2.02,0.06,1.96,6.7,-16.77,1.0928
2005,70,47798,138B,27,Chisel,0 to 15,G105,0.18,2.29,0.07,2.22,6.75,-16.8,1.0928
2005,70,47798,138B,28,Chisel,0 to 15,G109,0.16,2.25,0.06,2.19,6.72,-17.65,1.0918
2005,70,47791,138B,29,Plow,0 to 15,G113,0.18,2.36,0.06,2.3,6.25,-16.54,1.093
2005,70,47791,107/507,30,Plow,0 to 15,G117,0.2,2.65,0.05,2.6,5.64,-16.82,1.0927
2005,70,47791,107/507,31,Plow,0 to 15,G121,0.16,2.26,0.07,2.19,6.05,-16.15,1.0935
2005,70,47791,107/507,32,Plow,0 to 15,G125,0.16,1.95,0.04,1.91,6.26,-17,1.0925
2005,70,47792,107/507,33,Slot,0 to 15,G129,0.25,3.64,0.04,3.6,6.48,-15.99,1.0936
2005,70,47792,107/507,34,Slot,0 to 15,G133,0.26,3.89,0.06,3.83,6.67,-16.03,1.0936
2005,70,47792,107/507,35,Slot,0 to 15,G137,0.24,3.45,0.04,3.41,6.85,16.76,1.1296
2005,70,47792,107/507,36,Slot,0 to 15,G141,0.19,2.63,0.04,2.59,6.46,-13.07,1.0969
2005,70,47797,107/507,37,Till,0 to 15,G145,0.15,2.05,0.04,2.01,6.46,-15.74,1.0939
2005,70,47797,107/507,38,Till,0 to 15,G149,0.2,2.68,0.05,2.63,6.26,-16.74,1.0928
2005,70,47797,107/507,39,Till,0 to 15,G153,0.19,2.65,0.05,2.6,6.51,-16.37,1.0932
2005,70,47797,107/507,40,Till,0 to 15,G157,0.2,2.83,0.001,2.83,6.68,-16.81,1.0927
2005,70,47802,138B,41,Disk,0 to 15,G161,0.21,2.99,0.001,2.99,6.62,-16.28,1.0933
2005,70,47802,138B,42,Disk,0 to 15,G165,0.22,3.15,0.01,3.14,6.65,-15.96,1.0937
2005,70,47802,107/507,43,Disk,0 to 15,G169,0.23,3.21,0.001,3.21,6.71,-17.78,1.0917
2005,70,47802,107/507,44,Disk,0 to 15,G173,0.25,3.73,0.001,3.73,6.75,-16.55,1.093
2005,70,47807,107/507,45,Chisel,0 to 15,G177,0.18,2.43,0.001,2.43,6.54,-17.63,1.0918
2005,70,47807,138B,46,Chisel,0 to 15,G181,0.14,2.06,0.001,2.06,6.52,-15.83,1.0938
2005,70,47807,138B,47,Chisel,0 to 15,G185,0.16,2.01,0.001,2.01,6.63,-16.8,1.0928
2005,70,47807,107/507,48,Chisel,0 to 15,G189,0.2,2.66,0.001,2.66,6.83,-18.27,1.0911
2005,70,47806,138B,49,Plow,0 to 15,G193,0.15,1.86,0.001,1.86,6.28,-16.48,1.0931
2005,70,47806,138B,50,Plow,0 to 15,G197,0.14,1.74,0.001,1.74,6.24,-18.16,1.0913
2005,70,47806,107/507,51,Plow,0 to 15,G201,0.17,2.1,0.001,2.1,6.44,-18.21,1.0912
2005,70,47803,107/507,52,Slot,0 to 15,G205,0.24,3.04,0.001,3.04,6.85,-3.91,1.1069
2005,70,47803,138B,53,Slot,0 to 15,G209,0.16,2.18,0.001,2.18,5.99,-15.48,1.0942
2005,70,47803,138B,54,Slot,0 to 15,G213,0.14,1.77,0.001,1.77,5.75,-17.85,1.0916
2005,70,47803,138B,55,Slot,0 to 15,G217,0.15,1.7,0.001,1.7,6.05,-16.95,1.0926
2005,70,47796,138B,56,Plow,0 to 15,G221,0.17,2.17,0.001,2.17,5.76,-16.7,1.0929
2005,70,47796,138B,57,Plow,0 to 15,G225,0.2,2.56,0.001,2.56,5.73,-17.36,1.0921
2005,70,47796,138B,58,Plow,0 to 15,G229,0.14,2,0.001,2,5.78,-16.02,1.0936
2005,70,47796,138B,59,Plow,0 to 15,G233,0.13,2.01,0.001,2.01,6.12,-16.08,1.0936
2005,70,47793,107/507,60,Till,0 to 15,G237,0.21,3.14,0.001,3.14,6.6,-3.54,1.1073
2005,70,47793,107/507,61,Till,0 to 15,G241,0.2,2.72,0.001,2.72,6.7,-15.16,1.0946
2005,70,47793,107/507,62,Till,0 to 15,G245,0.16,2.35,0.001,2.35,6.51,-16.23,1.0934
2005,70,47793,107/507,63,Till,0 to 15,G249,0.19,2.81,0.04,2.77,6.33,-15.92,1.0937
2005,70,47794,107/507,64,Chisel,0 to 15,G253,0.16,2.43,0.04,2.39,6.59,-16.96,1.0926
2005,70,47794,107/507,65,Chisel,0 to 15,G257,0.15,2.35,0.001,2.35,5.94,-15.65,1.094
2005,70,47794,107/507,66,Chisel,0 to 15,G261,0.2,3.09,0.04,3.05,6.09,-16.26,1.0933
2005,70,47794,107/507,67,Chisel,0 to 15,G265,0.22,3.53,0.05,3.48,6.38,-15.95,1.0937
2005,70,47795,107/507,68,Disk,0 to 15,G269,0.17,2.35,0.001,2.35,6.43,-16.41,1.0932
2005,70,47795,107/507,69,Disk,0 to 15,G273,0.14,2.21,0.001,2.21,5.73,-15.7,1.094
2005,70,47795,107/507,70,Disk,0 to 15,G277,0.16,2.42,0.01,2.41,5.97,-15.65,1.094
2005,70,47795,107/507,71,Disk,0 to 15,G281,0.2,3.08,0.001,3.08,6.11,-15.64,1.094
2005,70,47804,107/507,72,Till,0 to 15,G285,0.15,2.32,0.001,2.32,6.17,-16.06,1.0936
2005,70,47804,107/507,73,Till,0 to 15,G289,0.14,2.07,0.01,2.06,5.94,-15.59,1.0941
2005,70,47804,107/507,74,Till,0 to 15,G293,0.15,2.14,0.03,2.11,6.32,-16.06,1.0936
2005,70,47804,107/507,75,Till,0 to 15,G297,0.19,2.57,0.03,2.54,6.44,-15.96,1.0937
2005,70,47805,107/507,76,Slot,0 to 15,G301,0.25,3.62,0.02,3.6,6.62,-15.91,1.0937
2005,70,47805,107/507,77,Slot,0 to 15,G305,0.21,3.11,0.02,3.09,5.32,-15.88,1.0938
2005,70,47805,107/507,78,Slot,0 to 15,G309,0.16,2.06,0.02,2.04,5.74,-16.99,1.0925
2005,70,47790,138B,1,Disk,15 to 30,G2,0.16,1.82,0.04,1.77,6.28,-16.19,1.0934
2005,70,47790,138B,2,Disk,15 to 30,G6,0.13,1.89,0.04,1.85,6.87,-7.27,1.1032
2005,70,47790,138B,3,Disk,15 to 30,G10,0.16,1.62,0.15,1.47,6.27,-16.24,1.0934
2005,70,47790,138B,4,Disk,15 to 30,G14,0.12,1.52,0.04,1.48,5.96,-17.34,1.0922
2005,70,47799,138B,5,Slot,15 to 30,G18,0.17,2.34,0.04,2.3,6.51,-16.77,1.0928
2005,70,47799,138B,6,Slot,15 to 30,G22,0.13,1.8,0.04,1.76,6.65,-16.57,1.093
2005,70,47799,138B,7,Slot,15 to 30,G26,0.14,1.96,0.04,1.92,6.2,-15.31,1.0944
2005,70,47799,138B,8,Slot,15 to 30,G30,0.16,2.24,0.04,2.2,5.8,-16.85,1.0927
2005,70,47800,107/507,9,Plow,15 to 30,G34,0.12,1.72,0.03,1.69,6.25,-16.69,1.0929
2005,70,47800,107/507,10,Plow,15 to 30,G38,0.13,1.9,0.02,1.88,6.66,-16.09,1.0935
2005,70,47800,107/507,11,Plow,15 to 30,G42,0.13,1.91,0.03,1.88,6.14,-16.48,1.0931
2005,70,47800,107/507,12,Plow,15 to 30,G46,0.19,2.62,0.03,2.59,5.95,-15.83,1.0938
2005,70,47809,138B,13,Disk,15 to 30,G50,0.12,1.85,0.05,1.8,6.27,-16,1.0936
2005,70,47809,138B,14,Disk,15 to 30,G54,0.18,1.98,0.04,1.94,6.92,-13.67,1.0962
2005,70,47809,138B,15,Disk,15 to 30,G58,0.11,1.48,0.04,1.44,6.53,-15.76,1.0939
2005,70,47809,138B,16,Disk,15 to 30,G62,0.16,2.06,0.04,2.02,5.73,-16.5,1.0931
2005,70,47808,107/507,17,Till,15 to 30,G66,0.17,2.42,0.04,2.38,6.22,-16.97,1.0926
2005,70,47808,138B,18,Till,15 to 30,G70,0.19,3.1,0.04,3.06,7.03,-17.07,1.0925
2005,70,47808,138B,19,Till,15 to 30,G74,0.17,2.66,0.03,2.63,5.11,-16.64,1.0929
2005,70,47808,107/507,20,Till,15 to 30,G78,0.04,0.5,0.04,0.46,5.6,-16.34,1.0933
2005,70,47801,107/507,21,Chisel,15 to 30,G82,0.25,3.78,0.04,3.74,6.11,-17.03,1.0925
2005,70,47801,107/507,22,Chisel,15 to 30,G86,0.23,3.38,0.03,3.35,6.4,-17.31,1.0922
2005,70,47801,107/507,23,Chisel,15 to 30,G90,0.19,2.69,0.04,2.65,6,-14.6,1.0952
2005,70,47801,107/507,24,Chisel,15 to 30,G94,0.14,1.89,0.05,1.84,6.05,-16.44,1.0931
2005,70,47798,107/507,25,Chisel,15 to 30,G98,0.16,2.25,0.05,2.2,6.58,-17.46,1.092
2005,70,47798,138B,26,Chisel,15 to 30,G102,0.14,1.59,0.05,1.54,7.93,-3.21,1.1077
2005,70,47798,138B,27,Chisel,15 to 30,G106,0.13,1.63,0.05,1.58,6.2,-14.59,1.0952
2005,70,47798,138B,28,Chisel,15 to 30,G110,0.16,2.03,0.05,1.98,5.62,-16.85,1.0927
2005,70,47791,138B,29,Plow,15 to 30,G114,0.15,2,0.06,1.94,6.33,-16.79,1.0928
2005,70,47791,107/507,30,Plow,15 to 30,G118,0.21,2.76,0.04,2.72,7.75,-6.62,1.1039
2005,70,47791,107/507,31,Plow,15 to 30,G122,0.16,2.27,0.04,2.23,6.79,-15.96,1.0937
2005,70,47791,107/507,32,Plow,15 to 30,G126,0.15,1.99,0.04,1.95,5.82,-17.19,1.0923
2005,70,47792,107/507,33,Slot,15 to 30,G130,0.24,3.43,0.04,3.39,5.84,-17.15,1.0924
2005,70,47792,107/507,34,Slot,15 to 30,G134,0.2,3.04,0.04,3,7.79,-4.85,1.1059
2005,70,47792,107/507,35,Slot,15 to 30,G138,0.18,2.71,0.03,2.68,6.9,-16.82,1.0927
2005,70,47792,107/507,36,Slot,15 to 30,G142,0.12,1.69,0.04,1.65,6.91,-16.1,1.0935
2005,70,47797,107/507,37,Till,15 to 30,G146,0.12,1.59,0.04,1.55,7.04,-16.86,1.0927
2005,70,47797,107/507,38,Till,15 to 30,G150,0.15,2.14,0.04,2.1,7.8,-6.5,1.1041
2005,70,47797,107/507,39,Till,15 to 30,G154,0.14,2.01,0.05,1.96,6.04,-15.61,1.0941
2005,70,47797,107/507,40,Till,15 to 30,G158,0.17,2.38,0.001,2.38,5.98,-16.95,1.0926
2005,70,47802,138B,41,Disk,15 to 30,G162,0.15,2.35,0.001,2.35,5.99,-17.71,1.0918
2005,70,47802,138B,42,Disk,15 to 30,G166,0.2,2.91,0.001,2.91,7.68,-7.42,1.1031
2005,70,47802,107/507,43,Disk,15 to 30,G170,0.19,2.85,0.001,2.85,7.06,-16.11,1.0935
2005,70,47802,107/507,44,Disk,15 to 30,G174,0.23,3.31,0.001,3.31,6.95,-16.13,1.0935
2005,70,47807,107/507,45,Chisel,15 to 30,G178,0.15,2.11,0.001,2.11,7.23,-16.17,1.0934
2005,70,47807,138B,46,Chisel,15 to 30,G182,0.13,1.64,0.001,1.64,7.79,-4.62,1.1061
2005,70,47807,138B,47,Chisel,15 to 30,G186,0.12,1.53,0.001,1.53,5.63,-15.61,1.0941
2005,70,47807,107/507,48,Chisel,15 to 30,G190,0.18,2.63,0.001,2.63,5.73,-16.54,1.093
2005,70,47806,138B,49,Plow,15 to 30,G194,0.13,1.6,0.001,1.6,6.41,-16.02,1.0936
2005,70,47806,138B,50,Plow,15 to 30,G198,0.13,1.55,0.001,1.55,7.7,-2.82,1.1081
2005,70,47806,107/507,51,Plow,15 to 30,G202,0.14,1.78,0.001,1.78,5.37,-16.29,1.0933
2005,70,47803,107/507,52,Slot,15 to 30,G206,0.22,3,0.001,3,5.5,-16.78,1.0928
2005,70,47803,138B,53,Slot,15 to 30,G210,0.21,2.86,0.001,2.86,6.6,-16.69,1.0929
2005,70,47803,138B,54,Slot,15 to 30,G214,0.12,1.42,0.001,1.42,6.9,-18.35,1.0911
2005,70,47803,138B,55,Slot,15 to 30,G218,0.08,0.87,0.001,0.87,5.5,-17.2,1.0923
2005,70,47796,138B,56,Plow,15 to 30,G222,0.14,1.85,0.001,1.85,5.74,-18.87,1.0905
2005,70,47796,138B,57,Plow,15 to 30,G226,0.16,2.18,0.001,2.18,6.38,-19.51,1.0898
2005,70,47796,138B,58,Plow,15 to 30,G230,0.11,1.61,0.001,1.61,6.42,-19.36,1.0899
2005,70,47796,138B,59,Plow,15 to 30,G234,0.09,1.47,0.001,1.47,5.76,-17.16,1.0924
2005,70,47793,107/507,60,Till,15 to 30,G238,0.14,2.05,0.001,2.05,5.62,-18.81,1.0905
2005,70,47793,107/507,61,Till,15 to 30,G242,0.13,1.93,0.001,1.93,5.93,-20.23,1.089
2005,70,47793,107/507,62,Till,15 to 30,G246,0.12,1.71,0.001,1.71,6.52,-19.96,1.0893
2005,70,47793,107/507,63,Till,15 to 30,G250,0.15,2.39,0.04,2.35,6.28,-15.94,1.0937
2005,70,47794,107/507,64,Chisel,15 to 30,G254,0.14,2.05,0.03,2.02,6.34,-16.75,1.0928
2005,70,47794,107/507,65,Chisel,15 to 30,G258,0.13,2.2,0.001,2.2,6.32,-15.43,1.0943
2005,70,47794,107/507,66,Chisel,15 to 30,G262,0.19,3.11,0.03,3.08,6.42,-17.67,1.0918
2005,70,47794,107/507,67,Chisel,15 to 30,G266,0.19,3.09,0.04,3.05,6,-16.02,1.0936
2005,70,47795,107/507,68,Disk,15 to 30,G270,0.08,1.29,0.02,1.27,6.03,-16.37,1.0932
2005,70,47795,107/507,69,Disk,15 to 30,G274,0.13,2.09,0.001,2.09,6.54,-14.8,1.095
2005,70,47795,107/507,70,Disk,15 to 30,G278,0.15,2.35,0.001,2.35,7.55,-2.16,1.1088
2005,70,47795,107/507,71,Disk,15 to 30,G282,0.21,3.24,0.001,3.24,6.3,-16.81,1.0927
2005,70,47804,107/507,72,Till,15 to 30,G286,0.15,2.36,0.001,2.36,5.81,-16.24,1.0934
2005,70,47804,107/507,73,Till,15 to 30,G290,0.11,1.69,0.01,1.68,6.02,-15.25,1.0945
2005,70,47804,107/507,74,Till,15 to 30,G294,0.12,1.57,0.02,1.55,6.72,-17.87,1.0916
2005,70,47804,107/507,75,Till,15 to 30,G298,0.17,2.29,0.03,2.26,5.72,-15.39,1.0943
2005,70,47805,107/507,76,Slot,15 to 30,G302,0.26,3.68,0.02,3.66,5.59,-16.05,1.0936
2005,70,47805,107/507,77,Slot,15 to 30,G306,0.19,2.56,0.01,2.55,6.02,-16.64,1.0929
2005,70,47805,107/507,78,Slot,15 to 30,G310,0.09,1.41,0.32,1.09,6.55,-18.24,1.0912
2005,70,47790,138B,1,Disk,30 to 60,G3,0.08,1.01,0.04,0.97,6.41,-15.41,1.0943
2005,70,47790,138B,2,Disk,30 to 60,G7,0.07,0.96,0.04,0.91,5.95,-15.11,1.0946
2005,70,47790,138B,3,Disk,30 to 60,G11,0.07,0.91,0.04,0.87,6.09,-15.37,1.0943
2005,70,47790,138B,4,Disk,30 to 60,G15,0.07,0.84,0.04,0.8,6.58,-15.97,1.0937
2005,70,47799,138B,5,Slot,30 to 60,G19,0.11,1.46,0.001,1.46,6.25,-15.32,1.0944
2005,70,47799,138B,6,Slot,30 to 60,G23,0.07,1.04,0.04,1,5.87,-16.27,1.0933
2005,70,47799,138B,7,Slot,30 to 60,G27,0.09,1.15,0.03,1.12,6.19,-16.09,1.0935
2005,70,47799,138B,8,Slot,30 to 60,G31,0.1,1.58,0.03,1.55,6.64,-16.58,1.093
2005,70,47800,107/507,9,Plow,30 to 60,G35,0.06,0.82,0.02,0.8,6.54,-15.41,1.0943
2005,70,47800,107/507,10,Plow,30 to 60,G39,0.06,0.95,0.03,0.92,5.45,-16.55,1.093
2005,70,47800,107/507,11,Plow,30 to 60,G43,0.07,1.32,0.02,1.3,6.17,-15.88,1.0938
2005,70,47800,107/507,12,Plow,30 to 60,G47,0.16,2.02,0.02,2,6.53,-15.72,1.0939
2005,70,47809,138B,13,Disk,30 to 60,G51,0.07,1.01,0.06,0.95,6.31,-15.69,1.094
2005,70,47809,138B,14,Disk,30 to 60,G55,0.08,1.15,0.04,1.11,5.71,-16.91,1.0926
2005,70,47809,138B,15,Disk,30 to 60,G59,0.06,0.76,0.04,0.72,6.12,-16.05,1.0936
2005,70,47809,138B,16,Disk,30 to 60,G63,0.09,1.33,0.04,1.29,6.45,-16.44,1.0931
2005,70,47808,107/507,17,Till,30 to 60,G67,0.11,1.64,0.04,1.6,6.61,-15.24,1.0945
2005,70,47808,138B,18,Till,30 to 60,G71,0.15,2.34,0.03,2.31,5.59,-17.07,1.0925
2005,70,47808,138B,19,Till,30 to 60,G75,0.15,2.06,0.04,2.02,6.15,-16.63,1.0929
2005,70,47808,107/507,20,Till,30 to 60,G79,0.07,1.11,0.04,1.07,6.63,-16.33,1.0933
2005,70,47801,107/507,21,Chisel,30 to 60,G83,0.14,2.18,0.03,2.15,6.3,-15.81,1.0938
2005,70,47801,107/507,22,Chisel,30 to 60,G87,0.15,2.11,0.03,2.08,6.5,-16.27,1.0933
2005,70,47801,107/507,23,Chisel,30 to 60,G91,0.1,1.36,0.05,1.31,6.73,-15.94,1.0937
2005,70,47801,107/507,24,Chisel,30 to 60,G95,0.09,1.09,0.05,1.04,7.62,-2.31,1.1087
2005,70,47798,107/507,25,Chisel,30 to 60,G99,0.1,1.46,0.05,1.41,6.27,-15.44,1.0942
2005,70,47798,138B,26,Chisel,30 to 60,G103,0.08,0.94,0.06,0.88,6.33,-16.41,1.0932
2005,70,47798,138B,27,Chisel,30 to 60,G107,0.08,0.83,0.05,0.78,6.51,-17.05,1.0925
2005,70,47798,138B,28,Chisel,30 to 60,G111,0.1,1.23,0.05,1.18,7.71,-2.99,1.1079
2005,70,47791,138B,29,Plow,30 to 60,G115,0.1,1.18,0.05,1.13,6.6,-15.65,1.094
2005,70,47791,107/507,30,Plow,30 to 60,G119,0.11,1.47,0.04,1.43,6.77,-16.37,1.0932
2005,70,47791,107/507,31,Plow,30 to 60,G123,0.1,1.19,0.06,1.13,6.76,-16.31,1.0933
2005,70,47791,107/507,32,Plow,30 to 60,G127,0.09,1,0.05,0.95,7.09,-13.2,1.0967
2005,70,47792,107/507,33,Slot,30 to 60,G131,0.11,1.72,0.02,1.7,5.94,-15.8,1.0939
2005,70,47792,107/507,34,Slot,30 to 60,G135,0.13,1.96,0.04,1.92,6.19,-16.72,1.0928
2005,70,47792,107/507,35,Slot,30 to 60,G139,0.1,1.71,0.05,1.66,6.56,-16.82,1.0927
2005,70,47792,107/507,36,Slot,30 to 60,G143,0.09,1.29,0.03,1.26,6.91,-17.46,1.092
2005,70,47797,107/507,37,Till,30 to 60,G147,0.06,0.82,0.11,0.71,5.71,-15.78,1.0939
2005,70,47797,107/507,38,Till,30 to 60,G151,0.09,1.15,0.04,1.11,6.09,-16.12,1.0935
2005,70,47797,107/507,39,Till,30 to 60,G155,0.07,0.98,0.04,0.94,6.41,-16.72,1.0928
2005,70,47797,107/507,40,Till,30 to 60,G159,0.09,1.47,0.001,1.47,7.33,-5.99,1.1046
2005,70,47802,138B,41,Disk,30 to 60,G163,0.09,1.25,0.001,1.25,5.75,-15.97,1.0937
2005,70,47802,138B,42,Disk,30 to 60,G167,0.12,1.92,0.001,1.92,6.21,-16.09,1.0935
2005,70,47802,107/507,43,Disk,30 to 60,G171,0.13,1.92,0.001,1.92,6.52,-16.2,1.0934
2005,70,47802,107/507,44,Disk,30 to 60,G175,0.13,1.87,0.001,1.87,7.87,-2.83,1.1081
2005,70,47807,107/507,45,Chisel,30 to 60,G179,0.07,0.94,0.001,0.94,6.66,-15.92,1.0937
2005,70,47807,138B,46,Chisel,30 to 60,G183,0.07,0.85,0.001,0.85,7.18,-16.36,1.0932
2005,70,47807,138B,47,Chisel,30 to 60,G187,0.08,0.82,0.001,0.82,7.81,-7.93,1.1025
2005,70,47807,107/507,48,Chisel,30 to 60,G191,0.1,1.51,0.001,1.51,8.04,-3.1,1.1078
2005,70,47806,138B,49,Plow,30 to 60,G195,0.08,0.88,0.001,0.88,6.22,-15.92,1.0937
2005,70,47806,138B,50,Plow,30 to 60,G199,0.07,0.68,0.001,0.68,6.05,-17.02,1.0925
2005,70,47806,107/507,51,Plow,30 to 60,G203,0.07,1.66,1.02,0.64,6.57,-16.57,1.093
2005,70,47803,107/507,52,Slot,30 to 60,G207,0.12,1.61,0.001,1.61,7.25,-9.42,1.1009
2005,70,47803,138B,53,Slot,30 to 60,G211,0.1,1.35,0.001,1.35,5.84,-15.84,1.0938
2005,70,47803,138B,54,Slot,30 to 60,G215,0.06,0.6,0.001,0.6,6.79,-16.4,1.0932
2005,70,47803,138B,55,Slot,30 to 60,G219,0.05,0.42,0.001,0.42,6.76,-16.25,1.0934
2005,70,47796,138B,56,Plow,30 to 60,G223,0.08,0.91,0.001,0.91,7.33,-8.51,1.1019
