year,month,latitude,longitude,number,step,surface,valid_time,surface_thermal_radiation_downwards,total_precipitation,snowfall,surface_net_thermal_radiation,surface_net_solar_radiation,evaporation,surface_solar_radiation_downwards
2008,12,39.79,-90.83,0,0 days 12:00:00,0.0,2009-01-01 06:00:00,20808808.0,0.00041485624,0.0003353546,-4916144.0,6800142.0,-0.00032432564,8421399.0
2009,1,39.79,-90.83,0,0 days 12:00:00,0.0,2009-02-01 06:00:00,21827580.0,0.0020763006,4.591576e-05,-5918821.0,10393300.0,-0.0007584479,12311854.0
2009,2,39.79,-90.83,0,0 days 12:00:00,0.0,2009-03-01 06:00:00,24415264.0,0.0040541478,0.00019765475,-5718127.0,13161986.0,-0.0017836438,15869899.0
2009,3,39.79,-90.83,0,0 days 12:00:00,0.0,2009-04-01 06:00:00,26889032.0,0.005174149,5.530199e-07,-5206883.0,14109033.0,-0.0025602796,17112122.0
2009,4,39.79,-90.83,0,0 days 12:00:00,0.0,2009-05-01 06:00:00,29376882.0,0.004209902,0.0,-5685913.0,17631640.0,-0.003584213,21777632.0
2009,5,39.79,-90.83,0,0 days 12:00:00,0.0,2009-06-01 06:00:00,32968928.0,0.004852645,0.0,-4854025.0,18260768.0,-0.004287634,22528420.0
2009,6,39.79,-90.83,0,0 days 12:00:00,0.0,2009-07-01 06:00:00,32294036.0,0.0023573919,0.0,-5055904.0,17290880.0,-0.0039154813,21365942.0
2009,7,39.79,-90.83,0,0 days 12:00:00,0.0,2009-08-01 06:00:00,32466606.0,0.00243267,0.0,-5373955.0,16350711.0,-0.0033868665,19920770.0
2009,8,39.79,-90.83,0,0 days 12:00:00,0.0,2009-09-01 06:00:00,30315438.0,0.003099768,0.0,-5605609.0,13695538.0,-0.0024376074,16368704.0
2009,9,39.79,-90.83,0,0 days 12:00:00,0.0,2009-10-01 06:00:00,27754936.0,0.0071991794,0.0,-3897737.0,7276806.0,-0.001480435,8658591.0
2009,10,39.79,-90.83,0,0 days 12:00:00,0.0,2009-11-01 06:00:00,26139458.0,0.0031836927,0.0,-4694515.0,6629667.0,-0.0011215846,7865079.0
2009,11,39.79,-90.83,0,0 days 12:00:00,0.0,2009-12-01 06:00:00,23071566.0,0.0030469184,0.00063878717,-3759325.0,4573633.0,-0.0004779196,5711776.0
2009,12,39.79,-90.83,0,0 days 12:00:00,0.0,2010-01-01 06:00:00,21546556.0,0.0021715465,0.00038516568,-3563242.0,5154258.0,-0.0002495614,7411969.0
2010,1,39.79,-90.83,0,0 days 12:00:00,0.0,2010-02-01 06:00:00,21330144.0,0.0021580425,0.0014864642,-4344413.0,7535581.0,-0.0005249947,11989368.0
2010,2,39.79,-90.83,0,0 days 12:00:00,0.0,2010-03-01 06:00:00,25138292.0,0.0023247157,0.00012604619,-4961259.0,11981971.0,-0.0015458527,14402777.0
2010,3,39.79,-90.83,0,0 days 12:00:00,0.0,2010-04-01 06:00:00,27973776.0,0.0044471696,0.0,-6100484.0,16370268.0,-0.003131113,19824532.0
2010,4,39.79,-90.83,0,0 days 12:00:00,0.0,2010-05-01 06:00:00,30269120.0,0.0045758486,0.0,-4966688.0,16302326.0,-0.0034281109,20099584.0
2010,5,39.79,-90.83,0,0 days 12:00:00,0.0,2010-06-01 06:00:00,33875492.0,0.0061194785,0.0,-4804489.0,19164090.0,-0.0046784095,23614988.0
2010,6,39.79,-90.83,0,0 days 12:00:00,0.0,2010-07-01 06:00:00,34729960.0,0.00505545,0.0,-4560934.0,18172366.0,-0.004528638,22362032.0
2010,7,39.79,-90.83,0,0 days 12:00:00,0.0,2010-08-01 06:00:00,33846464.0,0.0014765712,0.0,-5527606.0,18655616.0,-0.004218016,22655848.0
2010,8,39.79,-90.83,0,0 days 12:00:00,0.0,2010-09-01 06:00:00,31019004.0,0.0041256286,0.0,-5380736.0,14075629.0,-0.0031202547,16799510.0
2010,9,39.79,-90.83,0,0 days 12:00:00,0.0,2010-10-01 06:00:00,26153254.0,0.0010777512,0.0,-7271654.0,12658201.0,-0.0018527333,15035829.0
2010,10,39.79,-90.83,0,0 days 12:00:00,0.0,2010-11-01 06:00:00,24334692.0,0.001618248,4.1957446e-06,-5839455.0,7694636.0,-0.00096292654,9133334.0
2010,11,39.79,-90.83,0,0 days 12:00:00,0.0,2010-12-01 06:00:00,22660828.0,0.0013723024,0.0005295258,-3652008.0,4542536.0,-0.00026062015,5974632.0
2010,12,39.79,-90.83,0,0 days 12:00:00,0.0,2011-01-01 06:00:00,21360828.0,0.0010749134,0.00087345415,-4050355.0,5107093.0,-0.00036493572,7683190.0
2011,1,39.79,-90.83,0,0 days 12:00:00,0.0,2011-02-01 06:00:00,22696200.0,0.003746647,0.0021227512,-4203321.0,6927967.0,-0.00076024816,10943430.0
2011,2,39.79,-90.83,0,0 days 12:00:00,0.0,2011-03-01 06:00:00,25089198.0,0.001344823,0.0001194934,-4893366.0,11885324.0,-0.0016006159,14293303.0
2011,3,39.79,-90.83,0,0 days 12:00:00,0.0,2011-04-01 06:00:00,27681458.0,0.0065839514,0.0,-5103096.0,14370959.0,-0.0027008336,17422756.0
2011,4,39.79,-90.83,0,0 days 12:00:00,0.0,2011-05-01 06:00:00,30043068.0,0.004573744,0.0,-4974594.0,16218677.0,-0.0033747016,20008022.0
2011,5,39.79,-90.83,0,0 days 12:00:00,0.0,2011-06-01 06:00:00,33174756.0,0.007295925,0.0,-4901231.0,18841560.0,-0.004661195,23229224.0
2011,6,39.79,-90.83,0,0 days 12:00:00,0.0,2011-07-01 06:00:00,35536372.0,0.0018951872,0.0,-4683537.0,19450952.0,-0.004788846,23910004.0
2011,7,39.79,-90.83,0,0 days 12:00:00,0.0,2011-08-01 06:00:00,33485748.0,0.002843152,0.0,-5275396.0,17509788.0,-0.003995657,21286336.0
2011,8,39.79,-90.83,0,0 days 12:00:00,0.0,2011-09-01 06:00:00,29500376.0,0.0018884086,0.0,-5793152.0,14071679.0,-0.0027054136,16820688.0
2011,9,39.79,-90.83,0,0 days 12:00:00,0.0,2011-10-01 06:00:00,26612650.0,0.00080738426,0.0,-6576479.0,11397188.0,-0.0016067522,13539148.0
2011,10,39.79,-90.83,0,0 days 12:00:00,0.0,2011-11-01 06:00:00,25492616.0,0.0047634803,0.0,-5085407.0,6523343.0,-0.0011063959,7741102.0
2011,11,39.79,-90.83,0,0 days 12:00:00,0.0,2011-12-01 06:00:00,23600464.0,0.0022008452,0.00010711189,-4527015.0,5495430.0,-0.0006504522,6548050.0
2011,12,39.79,-90.83,0,0 days 12:00:00,0.0,2012-01-01 06:00:00,22008834.0,0.0006890753,0.00040059816,-5326672.0,6788400.0,-0.0006290714,8335854.0
2012,1,39.79,-90.83,0,0 days 12:00:00,0.0,2012-02-01 06:00:00,23040992.0,0.0016938876,0.00026621227,-5236528.0,9640324.0,-0.0010596847,11483981.0
2012,2,39.79,-90.83,0,0 days 12:00:00,0.0,2012-03-01 06:00:00,27259428.0,0.0019858214,7.295396e-05,-5711214.0,12948629.0,-0.0022139437,15476509.0
2012,3,39.79,-90.83,0,0 days 12:00:00,0.0,2012-04-01 06:00:00,27568876.0,0.00456864,0.0,-5843319.0,15659274.0,-0.0028033457,18975120.0
2012,4,39.79,-90.83,0,0 days 12:00:00,0.0,2012-05-01 06:00:00,30124008.0,0.0020057068,0.0,-6785162.0,19765956.0,-0.0035923962,24360768.0
2012,5,39.79,-90.83,0,0 days 12:00:00,0.0,2012-06-01 06:00:00,31578160.0,0.00070894696,0.0,-7012192.0,21484368.0,-0.0038921046,26463732.0
2012,6,39.79,-90.83,0,0 days 12:00:00,0.0,2012-07-01 06:00:00,34987252.0,0.00079899095,0.0,-6482479.0,20336882.0,-0.0034028331,24994656.0
2012,7,39.79,-90.83,0,0 days 12:00:00,0.0,2012-08-01 06:00:00,32399446.0,0.0018039821,0.0,-6481527.0,17602928.0,-0.0029187135,21414148.0
2012,8,39.79,-90.83,0,0 days 12:00:00,0.0,2012-09-01 06:00:00,29821758.0,0.0035068605,0.0,-6303358.0,14921253.0,-0.0023590173,17800830.0
2012,9,39.79,-90.83,0,0 days 12:00:00,0.0,2012-10-01 06:00:00,26642486.0,0.0032208674,0.0,-5775782.0,10190801.0,-0.0016840037,12114915.0
2012,10,39.79,-90.83,0,0 days 12:00:00,0.0,2012-11-01 06:00:00,23882580.0,0.0012139443,6.69648e-05,-5735469.0,7491580.0,-0.0009067678,8907319.0
2012,11,39.79,-90.83,0,0 days 12:00:00,0.0,2012-12-01 06:00:00,23966576.0,0.0020918932,0.00036032777,-4469620.0,5200898.0,-0.0005578387,6301276.0
2012,12,39.79,-90.83,0,0 days 12:00:00,0.0,2013-01-01 06:00:00,21777404.0,0.00260093,0.00015568192,-5203994.0,6853268.0,-0.00040979194,8429633.0
2013,1,39.79,-90.83,0,0 days 12:00:00,0.0,2013-02-01 06:00:00,21935216.0,0.002826823,0.0018303457,-5001521.0,8446889.0,-0.0007809119,11291313.0
2013,2,39.79,-90.83,0,0 days 12:00:00,0.0,2013-03-01 06:00:00,23224932.0,0.0026542458,0.0011657039,-4721676.0,10886593.0,-0.0012379456,15186399.0
2013,3,39.79,-90.83,0,0 days 12:00:00,0.0,2013-04-01 06:00:00,26675532.0,0.006432809,1.3693541e-05,-5171450.0,14146825.0,-0.002394593,17165018.0
2013,4,39.79,-90.83,0,0 days 12:00:00,0.0,2013-05-01 06:00:00,30528784.0,0.007402774,0.0,-4640110.0,15674279.0,-0.0033697207,19349582.0
2013,5,39.79,-90.83,0,0 days 12:00:00,0.0,2013-06-01 06:00:00,32389944.0,0.0021496636,0.0,-5103779.0,18275556.0,-0.0041627698,22550074.0
2013,6,39.79,-90.83,0,0 days 12:00:00,0.0,2013-07-01 06:00:00,32670168.0,0.0011948908,0.0,-6101519.0,19642152.0,-0.003622574,24225732.0
2013,7,39.79,-90.83,0,0 days 12:00:00,0.0,2013-08-01 06:00:00,33087468.0,0.00029110117,0.0,-5646759.0,17014592.0,-0.0028649748,20678264.0
2013,8,39.79,-90.83,0,0 days 12:00:00,0.0,2013-09-01 06:00:00,30918634.0,0.0014734811,0.0,-6430719.0,15369402.0,-0.0022433896,18328112.0
2013,9,39.79,-90.83,0,0 days 12:00:00,0.0,2013-10-01 06:00:00,27327060.0,0.0022967893,3.243378e-07,-5747472.0,10328454.0,-0.0013997951,12276142.0
2013,10,39.79,-90.83,0,0 days 12:00:00,0.0,2013-11-01 06:00:00,23279000.0,0.001883697,2.0194639e-05,-5729313.0,7199435.0,-0.00094378553,8558771.0
2013,11,39.79,-90.83,0,0 days 12:00:00,0.0,2013-12-01 06:00:00,21792594.0,0.0017300714,0.0009172745,-4552178.0,5266070.0,-0.0003060773,6867435.0
